Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Latitude,Longitude
AT&T,CCL05210,Joe's Ice Cream,1527,036,NC-3,40-X,Commercial,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,35,Melissa Murphree,925-963-8027,,37.78028,-122.47711
AT&T,CCL05211,30th Ave. & Pacheco St.,2069,010,NC-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,11,Interior,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,36,Melissa Murphree,925-963-8027,,37.75333,-122.49118
AT&T,CCL05214,Waller Clayton,1232,004,NCD,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,54,Melissa Murphree,925-963-8027,,37.77041,-122.44564
AT&T,CCL05218,999 Laguna Street,0771,001,RM-2,50-X,Residential,,"voice, video & data",wireless phones & modems,24,Rooftop,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,47.67,Melissa Murphree,925-963-8027,,37.77713,-122.42713
AT&T,CCL05219,Turk St. & Polk St.,0766,013,RC-4,130-V,Commercial,,"voice, video & data",wireless phones & modems,8,Basement.,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,54,Melissa Murphree,925-963-8027,,37.78090,-122.42019
AT&T,CCL05220,Ellis St. & Jones St.,0332,012,RC-4,80-T,Mixed Use,,"voice, video & data",wireless phones & modems,9,Basement.,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,78,Melissa Murphree,925-963-8027,,37.78472,-122.41256
AT&T,CCL05222,Mission St. & Lowell St.,7098,012,NCD,40-X,Motel,,"voice, video & data",wireless phones & modems,9,2nd fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,46,Melissa Murphree,925-963-8027,,37.71103,-122.44755
AT&T,CCL05228,Evans Avenue,5237,036,PDR-2,40-X,Industrial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,34,Melissa Murphree,925-963-8027,,37.73929,-122.38274
AT&T,CCL05229,Golden Gate Ave and Masonic Ave,1107,006,RH-2,40-X,Institutional (USF),,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,60,Melissa Murphree,925-963-8027,,37.77867,-122.44847
AT&T,CCL05232,1777 Yosemite,5418,013,PDR-2,65-J,Industrial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,79,Melissa Murphree,925-963-8027,,37.72835,-122.39521
AT&T,CCL05236,World Impact,7147,032,NC1,40-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.71135,-122.45627
AT&T,CCL05238,Bryant St. & 4th St.,3776,041,SLI,65-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,72,Melissa Murphree,925-963-8027,,37.78017,-122.39704
AT&T,CCL05240,Bryant St. & 3rd St.,3774,073,MUO,65-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,87,Melissa Murphree,925-963-8027,,37.78255,-122.39175
AT&T,CCL05257,Visitacion Ave. & Raymond Ave.,6251,016,NC-2,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,9,Garage,"UMTS, LTE","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.71239,-122.40734
AT&T,CCL05261,McAllister St. & Broderick St.,1181,019,NC-2,65-A,Mixed Use,,"voice, video & data",wireless phones & modems,9,Interior,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,56,Melissa Murphree,925-963-8027,,37.77678,-122.43801
AT&T,CCL05262,Haight St. & Steiner St.,0861,001,NC-2,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,81,Melissa Murphree,925-963-8027,,37.77170,-122.43223
AT&T,CCL05263,Lincoln Way & 16th Ave.,1771,041,NCD -Inner Sunset,40-X,"Institutional, School",,"voice, video & data",wireless phones & modems,6,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,37,Melissa Murphree,925-963-8027,,37.76356,-122.47476
AT&T,CCL05264,Brannan St. & 8th St.,3526,019B,PDR-1-G,40-X,Industrial,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,40,Melissa Murphree,925-963-8027,,37.77053,-122.40908
AT&T,CCL05265,North Beach,0130,043,NCD-NORTH BEACH,40-X,Public,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,78,Melissa Murphree,925-963-8027,CCL05798 is a proposed replacement for CCL05265,37.79856,-122.41006
AT&T,CCL05267,Pine St,0262,020,C-3-O,400-S,Commercial,,"voice, video & data",wireless phones & modems,4,Interior,"UMTS, LTE","700, 850, 1900,1700,2300",16650,99,Melissa Murphree,925-963-8027,,37.79257,-122.39888
AT&T,CCL05271,Taylor St - Greenwich St,0065,048,NCD-NORTH BEACH,40-X,Commercial,,"voice, video & data",wireless phones & modems,3,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,57,Melissa Murphree,925-963-8027,,37.80344,-122.41417
AT&T,CCL05273,Filbert -Larkin,0525,016,NCD-POLK,65-A,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,44,Melissa Murphree,925-963-8027,,37.79942,-122.42228
AT&T,CCL05291,Vicente/46th,2512,005,NC-2,100-A,Mixed Use,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,34,Melissa Murphree,925-963-8027,,37.73562,-122.50175
AT&T,CCL05295,I-280-18th,3998,021,UMU,58-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,64,Melissa Murphree,925-963-8027,,37.76375,-122.39222
AT&T,CCL05351,Parkside 2,2358,012,NCD-Taraval,50-X,N/A,,"voice, video & data",wireless phones & modems,2,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,42,Melissa Murphree,925-963-8027,,37.74261,-122.48656
AT&T,CCL05448,Candlestick Park,4934,003,M-1,CP,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,34,Melissa Murphree,925-963-8027,,37.71644,-122.38278
AT&T,CCL05460,Fillmore & Golden Gate,0755,002,NC-3,50-X,Mixed Use,,"voice, video & data",wireless phones & modems,3,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,56,Melissa Murphree,925-963-8027,,37.77970,-122.43200
AT&T,CCL05461,Carmel -Shrader,3583,079,NCD-CASTRO,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,24,Melissa Murphree,925-963-8027,,37.76086,-122.43383
AT&T,CCL05463,Green St - Hyde St,0124,001,NC-1,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,39,Melissa Murphree,925-963-8027,,37.79840,-122.41882
AT&T,CCL05479,Treat-20th,3591,001,PDR-1-G,58-X,Industrial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,35,Melissa Murphree,925-963-8027,,37.76086,-122.41539
AT&T,CCL05489,Irving St & 25th Ave,1780,044,NCD-Irving,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,84,Melissa Murphree,925-963-8027,,37.76298,-122.48442
AT&T,CCL05500,Pac Bell Park,3803,005,MUO,90-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,80,Melissa Murphree,925-963-8027,,37.77661,-122.39133
AT&T,CCL05509,Embarcadero & Brannan,3791,001,SB-DTR,45-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,52,Melissa Murphree,925-963-8027,,37.78444,-122.38844
AT&T,CCL05513,Gough & Sacramento,0640,019,RM-3,40-X,Residential,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,60,Melissa Murphree,925-963-8027,,37.79073,-122.42596
AT&T,CCL05514,Montgomery & Sutter,0293,001,C-3-0,80-130-F,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300,39000",16650,138,Melissa Murphree,925-963-8027,,37.78956,-122.40407
AT&T,CCL05517,11th & Folsom,3516,019,WMUG-Wsoma,55/65-X,Parking Garage,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,53,Melissa Murphree,925-963-8027,,37.77137,-122.41564
AT&T,CCL05520,9th & Howard,3518,004,RCD,55-X,Commercial,,"voice, video & data",wireless phones & modems,9,First fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,46,Melissa Murphree,925-963-8027,,37.77440,-122.41267
AT&T,CCL05521,6th & Bryant,3759,011,SALI,30-X,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,47,Melissa Murphree,925-963-8027,,37.77600,-122.40286
AT&T,CCL05524,4th & Brannan,3786,136,MUO,85-X,Commercial,,"voice, video & data",wireless phones & modems,10,First fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,26,Melissa Murphree,925-963-8027,,37.77710,-122.39525
AT&T,CCL05525,3rd & Howard,3723,115,C-3-S,340-I,Commercial,,"voice, video & data",wireless phones & modems,14,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,47,Melissa Murphree,925-963-8027,,37.78580,-122.40198
AT&T,CCL05526,Lombard St & Richardson Ave,0934,007,NC-3,40-X,Neighborhood Commerical Moderate Scale,,"voice, video & data",wireless phones & modems,8,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,31,Melissa Murphree,925-963-8027,,37.79888,-122.44546
AT&T,CCL05531,Balboa & 14th,1630,001,RM-1,40-X,Public,,"voice, video & data",wireless phones & modems,4,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,27,Melissa Murphree,925-963-8027,,37.77668,-122.47287
AT&T,CCL05532,7th & Geary,1441,035,NC-3,40-X,AT&T building,,"voice, video & data",wireless phones & modems,12,2nd fl balcony -lower roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,55,Melissa Murphree,925-963-8027,,37.78129,-122.46790
AT&T,CCL05534,Geary and Divisidero,1098,050,NC-3,105-E,Commercial,,"voice, video & data",wireless phones & modems,16,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,80,Melissa Murphree,925-963-8027,,37.78460,-122.44004
AT&T,CCL05537,Lombard St. Garage,0509,009,P,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,58,Melissa Murphree,925-963-8027,,37.79976,-122.43552
AT&T,CCL05541,Laguna & Post,0700,017-018,NC-3,50-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,55,Melissa Murphree,925-963-8027,,37.78535,-122.42831
AT&T,CCL05542,California & Polk,0646,001,NCD -POLK ST,80-A,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,30,Melissa Murphree,925-963-8027,CCL02106 is a proposed temporary replacement for CCL05542. CCL02219 is a proposed permanent replacement for CCL05542,37.79044,-122.42049
AT&T,CCL05543,Polk & Ellis,0740,018,NC-3,130-E,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,73,Melissa Murphree,925-963-8027,,37.78390,-122.41886
AT&T,CCL05544,Sutter & Hyde,0279,001,RC-4,80-A,Mixed Use,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,58,Melissa Murphree,925-963-8027,,37.78890,-122.41718
AT&T,CCL05545,California & Hyde,0249,007,NCD-Polk,65-A,Mixed Use,,"voice, video & data",wireless phones & modems,9,basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,69,Melissa Murphree,925-963-8027,,37.79116,-122.41771
AT&T,CCL05546,Geary & Leavenworth,0319,001,RC-4,80-T,Mixed Use,,"voice, video & data",wireless phones & modems,7,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,59,Melissa Murphree,925-963-8027,,37.78634,-122.41498
AT&T,CCL05551,Jackson & Front,0173,007,C-2,84-E,Commercial,,"voice, video & data",wireless phones & modems,7,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,70,Melissa Murphree,925-963-8027,,37.79695,-122.40024
AT&T,CCL05554,3rd & Arthur,5211,028-054,PDR-2,65-J,Commercial,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.74596,-122.38742
AT&T,CCL05557,Noreiga & 19th,2030,010,NCD-Noriega,40-X,Church,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,30,Melissa Murphree,925-963-8027,,37.75443,-122.47667
AT&T,CCL05558,19th & Vicente,2406,001,NCD-Taraval,65-A,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,48,Melissa Murphree,925-963-8027,,37.74290,-122.47408
AT&T,CCL05559,Castro & Market,3562,015,NCT,65-B,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,37,Melissa Murphree,925-963-8027,,37.76303,-122.43501
AT&T,CCL05566,Market & New Montgomery,0291,007,C-3-O,350-S,Commercial/Hotel,,"voice, video & data",wireless phones & modems,8,Basement & Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,153,Melissa Murphree,925-963-8027,,37.78819,-122.40186
AT&T,CCL05567,Golden Gate University,3708,098,C-3-O(SD),700-S-2,University,,"voice, video & data",wireless phones & modems,24,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,49,Melissa Murphree,925-963-8027,,37.78915,-122.39895
AT&T,CCL05568,Cole Valley,1272,001,NC-1,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,50,Melissa Murphree,925-963-8027,,37.76565,-122.45018
AT&T,CCL05569,3rd & Gilman,4828,041-047,PDR-2,40-X,Industrial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,28,Melissa Murphree,925-963-8027,,37.72556,-122.38718
AT&T,CCL05570,Cotton Basics,6507,017,NCD-24TH,40-X,N/A,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",7182,45.3,Melissa Murphree,925-963-8027,,37.75120,-122.43379
AT&T,CCL05581,Fulton & Franklin,0792,031,NCT-3,65-X,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,50,Melissa Murphree,925-963-8027,,37.77852,-122.42191
AT&T,CCL05586,7th & Folsom,3754,040,NCT-SOMA,65-X,Insitutional,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,47,Melissa Murphree,925-963-8027,,37.77706,-122.40707
AT&T,CCL05587,9th & Mission,3701,053,C-3-G,150-S/180-S,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,28,Melissa Murphree,925-963-8027,,37.77736,-122.41372
AT&T,CCL05622,West Nob Hill,0595,005,RC-4,80-D,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,108,Melissa Murphree,925-963-8027,,37.79408,-122.42286
AT&T,CCL05624,Laurel Heights,1071,004,NC-3,80-D,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,99,Melissa Murphree,925-963-8027,,37.78306,-122.44781
AT&T,CCL05625,19th & Brotherhood Way,7080,024,RH-1/NC-1,26-X/40-X,Public,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,52,Melissa Murphree,925-963-8027,,37.71753,-122.47192
AT&T,CCL05627,Mission Terrace,3206,003,NCD-Excelsior,65-A,Commercial,,"voice, video & data",wireless phones & modems,8,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,88,Melissa Murphree,925-963-8027,,37.72472,-122.43555
AT&T,CCL05628,Golden Gate Park,1608,018,NC-2,40-X,Public,,"voice, video & data",wireless phones & modems,2,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",7182,39,Melissa Murphree,925-963-8027,,37.77562,-122.49677
AT&T,CCL05631,Bernal Heights Blvd - Folsom,5663,017,NC-2,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,30,Melissa Murphree,925-963-8027,,37.73906,-122.41536
AT&T,CCL05633,Larkin & Grove,0347,007,RC-4,80-T,Commercial,,"voice, video & data",wireless phones & modems,3,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,66,Melissa Murphree,925-963-8027,,37.78056,-122.41667
AT&T,CCL05634,6th St and Jessie St,3704,025,NCT-SOMA,85-X,Commercial,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,30,Melissa Murphree,925-963-8027,,37.78108,-122.40868
AT&T,CCL05655,Larkin St - Clay St,0276,017,RC-4,65-A,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,40,Melissa Murphree,925-963-8027,,37.78942,-122.41530
AT&T,CCL05677,San Francisco,2522,010,RH-1,40-X,Church,,"voice, video & data",wireless phones & modems,7,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.73425,-122.49187
AT&T,CCL05693,Pacific Avenue,0564,"001-111,019,025",RM-1/RH-2,40-X,Residential,,"voice, video & data",wireless phones & modems,5,Equip Rm,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,114,Melissa Murphree,925-963-8027,,37.79453,-122.43478
AT&T,CCL05696,Fell Street,0819,034-035,NCT-HaYes,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,52,Melissa Murphree,925-963-8027,,37.77581,-122.42631
AT&T,CCL05710,4th & Howard,3751,105/112,MUR,85-X,Commercial,,"voice, video & data",wireless phones & modems,16,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,93,Melissa Murphree,925-963-8027,,37.78206,-122.40062
AT&T,CCL05711,182 2nd Street,3736,098,C-3-O(SD),350-S,Industrial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,78,Melissa Murphree,925-963-8027,,37.78695,-122.39775
AT&T,CCL05712,Market & Delores,3534,058,NCT-3,85-X/40-X,Commercial,,"voice, video & data",wireless phones & modems,7,First fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,52,Melissa Murphree,925-963-8027,,37.76932,-122.42595
AT&T,CCL05719,Calhoun Terrace,0107,007,C-2,84-E,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,97,Melissa Murphree,925-963-8027,,37.80166,-122.40205
AT&T,CCL05722,Bi-Rite Creamery,3578,027,NC-1,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,4,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.76156,-122.42579
AT&T,CCL05725,Drumm St & Hinkle,0204,023,C-3-0,300-S,Commercial,,"voice, video & data",wireless phones & modems,6,Lower Garage,"UMTS, LTE","700, 850, 1900,1700,2300",16650,50,Melissa Murphree,925-963-8027,CCL05799 is a proposed replacement for CCL05725,37.79571,-122.39842
AT&T,CCL05726,Kearny St & Battery,0192,041,CRNC,110-G,Hospital,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,78,Melissa Murphree,925-963-8027,,37.79543,-122.40913
AT&T,CCL05728,Sutter & Powell,0285,005,C-3-R,80-130-F,Commercial,,"voice, video & data",wireless phones & modems,7,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,61,Melissa Murphree,925-963-8027,,37.78962,-122.40724
AT&T,CCL05743,Chestnue & Fillmore,0540,018,NCD-UNION,40-X,N/A,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,25,Melissa Murphree,925-963-8027,,37.79698,-122.43526
AT&T,CCL05793,Nordstrom Rack,3704,001,C-3-R,120-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,110,Melissa Murphree,925-963-8027,,37.78356,-122.40821
AT&T,CCL05844,Cyril Magnin St. & Ellis St.,0327,012,C-3-R,80-130-F,Commercial/Hotel,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,100,Melissa Murphree,925-963-8027,,37.78570,-122.40800
AT&T,CCL05867,4th Ave & Cabrillo,1639,047,NC-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,40,Melissa Murphree,925-963-8027,,37.77707,-122.46350
AT&T,CCL05868,19th Ave. & Quintara St.,2198,033,RH-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,36,Melissa Murphree,925-963-8027,,37.74793,-122.47631
AT&T,CCL05878,Walgreens,0305,006,RC-4,80-T-130-T,Mixed Use,,"voice, video & data",wireless phones & modems,16,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,87,Melissa Murphree,925-963-8027,,37.78728,-122.41187
AT&T,CCL05886,Chestnut & Gough,0496,013,NC-3,40-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,56,Melissa Murphree,925-963-8027,,37.80096,-122.42936
AT&T,CCL05887,Turk_&_Scott,0753,012,RH-3,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,80,Melissa Murphree,925-963-8027,,37.77983,-122.43832
AT&T,CCL05889,16th_&_3rd,3994,009,UMU,68-X,N/A,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,30,Melissa Murphree,925-963-8027,,37.76411,-122.38851
AT&T,CCL05894,Franklin & OFarrell,0714,017,NC-3,130-E,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,62,Melissa Murphree,925-963-8027,,37.78528,-122.42269
AT&T,CCL05895,5th & Mission,3724,067,P,160-F/340-I/90-X,Public,,"voice, video & data",wireless phones & modems,8,6th fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,29,Melissa Murphree,925-963-8027,,37.78278,-122.40616
AT&T,CCL06470,Folsom-Tishman,3746,007,RC-4,400-W,Residential,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,99,Melissa Murphree,925-963-8027,CCL04727 is a proposed permanent replacement for CCL06470.  CCL06470 is a completed temporary replacement for CCL05881.,37.78899,-122.39189
AT&T,CCL06850F,California & Kearny,0270,037,C-3-R,80-130-F,Commercial,,"voice, video & data",wireless phones & modems,11,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300,39000",16650,129,Melissa Murphree,925-963-8027,,37.79086,-122.40485
AT&T,CCL06600F_R01,CRAN_555 Pine_1_01,0229,003,C-3-O,75-X,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79411,-122.40128
AT&T,CCL06600F_R02,CRAN_555 Pine_2_29,0228,039,C-3-O,250-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79471,-122.40156
AT&T,CCL06601F_R01,CRAN_555 Pine_1_02,0259,028,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79264,-122.40384
AT&T,CCL06602F_R01,CRAN_555 Pine_1_04,0238,008,C-3-O,350-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79324,-122.40053
AT&T,CCL06602F_R02,CRAN_555 Pine_2_03,0237,015,C-3-O,300-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79377,-122.40001
AT&T,CCL06604F_R01,CRAN_555 Pine_1_06,268,001,C-3-O,150-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79199,-122.40155
AT&T,CCL06604F_R02,CRAN_555 Pine_1_08,0261,017,C-3-O,400-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,"LTE, 5G","1900, 5000, 39000",109,32,Melissa Murphree,925-963-8027,,37.79224,-122.40041
AT&T,CCL06605F_R02,CRAN_555 Pine_1_12,0288,032,C-3-O,250-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79081,-122.40326
AT&T,CCL06606F_R01,CRAN_555 Pine_1_09,0266,008,C-3-O,450-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79228,-122.39919
AT&T,CCL06607F_R01,CRAN_611 Folsom_1_10,3708,056,C-3-O(SD),500-S,Utility,,"voice, video & data",wireless phones & modems,1,Central Office,LTE,"1900, 5000",109,32,Melissa Murphree,925-963-8027,,37.79084,-122.39906
